Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 50x50cm, Granite (7pcs/box)",,,,,pcs,,,,,,,,581,8/22/2008,,,82.5,PHP,BOC (08-09-010),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, Qixing 60x200mm 70pcs/box (Ceramics)",,,,,boxes,,,,,,,,738,3/19/2010,,,560,PHP,BOC (RN 2010-05-004),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, Sanlolus 298x300mm 17pcs/box (Ceramics)",,,,,boxes,,,,,,,,117,3/19/2010,,,680,PHP,BOC (RN 2010-05-004),,,,for allocation
NROC C WAREHOUSE,,,Houseware Supplies,,Trash Bag,,,,,pcs,,,,,,,,20,8/10/2012,,,,PHP,SUNPOWER Philippines,,,,
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Ufilta bottles (Water Filtration system),,,,,pcs,,,,,,,,850,9/26/2011,,,1077.97,PHP,"Aquafilta, Malaysia (2011-09-008)",,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Wash basin with fittings,,,,,set,,,,,,,,120,9/5/2007,,,1858.19,PHP,China (RN 07-11-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Wooden Door ,,,,,pcs,,,,,,,,466,11/16/2007,,,482,PHP,China (RN 07-12-015),,,,for allocation
NROC C WAREHOUSE,,,Sleeping Gear,,"Blanket, new",,,,,pcs,,,,,,,,1000,8/23/2012,,,220,PHP,Province of Cebu - c/o Governor Gwendolyn F. Garcia,,,,
NROC C WAREHOUSE,,,Sleeping Gear,,"Blanket, new",,,,,pcs,,,,,,,,4000,8/25/2012,,,99,PHP,OCD NDRRMC,,,,
NROC C WAREHOUSE,,,Sleeping Gear,,"Blanket, new",,,,,pcs,,,,,,,,50,8/30/2012,,,100,PHP,Bureau of Immigration,,,,
NROC C WAREHOUSE,,,Sleeping Gear,,"Blanket, used",,,,,pcs,,,,,,,,630,4/26/2012,,,80,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Sleeping Gear,,"Blanket, used, heavy",,,,,pcs,,,,,,,,90,8/31/2012,,,100,PHP,United Filipinos in Thailand,,,,for allocation
NROC C WAREHOUSE,,,Sleeping Gear,,"Comforter, used",,,,,pcs,,,,,,,,2,1/10/2012,,,35,PHP,TV5,,,,for allocation
NROC C WAREHOUSE,,,Sleeping Gear,,"Comforter, used",,,,,pcs,,,,,,,,11,5/18/2012,,,35,PHP,Filipino Community in Kuwait c/o OCD NDRRMC,,,,for allocation
NROC C WAREHOUSE,,,Sleeping Gear,,"Comforter, used",,,,,pcs,,,,,,,,2,5/16/2012,,,35,PHP,Philippine Embassy Singapore (c/o Jiamin Cargo Express),,,,for allocation
NROC C WAREHOUSE,,,Sleeping Gear,,"Comforter, used (15kilos)",,,,,pcs,,,,,,,,10,3/29/2012,,,40,PHP,Filipino Expatriate Wire (Singapore),,,,for allocation
NROC C WAREHOUSE,,,Sleeping Gear,,"Folding Bed, single",,,,,pcs,,,,,,,,100,8/25/2012,,,600,PHP,OCD NDRRMC,,,,
NROC C WAREHOUSE,,,Sleeping Gear,,Mosquito Net,,,,,pcs,,,,,,,,2400,8/25/2012,,,178.88,PHP,OCD NDRRMC,,,,
NROC C WAREHOUSE,,,Sleeping Gear,,"Pillow, used",,,,,pcs,,,,,,,,18,5/16/2012,,,25,PHP,Philippine Embassy Singapore (c/o Jiamin Cargo Express),,,,for allocation
NROC C WAREHOUSE,,,Houseware Supplies,,"Plastic Mats, new",,,,,pcs,,,,,,,,48,8/30/2012,,,200,PHP,Bureau of Immigration,,,,
NROC C WAREHOUSE,,,Sleeping Gear,,"Plastic Sleeping Mats, single",,,,,pcs,,,,,,,,1176,8/25/2012,,,150,PHP,OCD NDRRMC,,,,
NROC C WAREHOUSE,,,Sleeping Gear,,Quilt,,,,,pcs,,,,,,,,670,4/26/2012,,,80,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 51,,,,,boxes,,,,,,,,1,4/26/2012,,,10106,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 52,,,,,boxes,,,,,,,,1,4/26/2012,,,6857,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 53,,,,,boxes,,,,,,,,1,4/26/2012,,,7075,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 54,,,,,boxes,,,,,,,,1,4/26/2012,,,6262,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 55,,,,,boxes,,,,,,,,1,4/26/2012,,,7239,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 56,,,,,boxes,,,,,,,,1,4/26/2012,,,6447,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 57,,,,,boxes,,,,,,,,1,4/26/2012,,,8914,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 58,,,,,boxes,,,,,,,,1,4/26/2012,,,9335,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 59,,,,,boxes,,,,,,,,1,4/26/2012,,,4858,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 60,,,,,boxes,,,,,,,,1,4/26/2012,,,8234,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 61,,,,,boxes,,,,,,,,1,4/26/2012,,,9038,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 62,,,,,boxes,,,,,,,,1,4/26/2012,,,6003,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 63,,,,,boxes,,,,,,,,1,4/26/2012,,,6590,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 64,,,,,boxes,,,,,,,,1,4/26/2012,,,8510,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 65,,,,,boxes,,,,,,,,1,4/26/2012,,,6000,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 66,,,,,boxes,,,,,,,,1,4/26/2012,,,7593,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 67,,,,,boxes,,,,,,,,1,4/26/2012,,,8174,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 68,,,,,boxes,,,,,,,,1,4/26/2012,,,8880,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 69,,,,,boxes,,,,,,,,1,4/26/2012,,,6619,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 70,,,,,boxes,,,,,,,,1,4/26/2012,,,12868,PHP,Lutheran World Relief,,,,for allocation
