Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"INFECTION PROTECTION KIT (composed of: 7pcs N95 Mask, 10pcs Powdered free synthetic gloves & 7 pcs Sanitary wipes) 12packs/case",,,,,pck,,,,,,,,2176,,,,245.95,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"INFLATABLE MATTRESS, Therma Rest, Medium Lite",,,,,pcs,,,,,,,,20,,,,3437.65,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Jug, water, plastic with handle & faucet (5 gallons capacity) blue",,,,,pcs,,,,,,,,9000,,,,132,PHP,Lokal Industries,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Junction Box ,,,,,pcs,,,,,,,,300,,,,99,PHP,China (RN 07-12-015),,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Kaldero (iron kettle), family size",,,,,pcs,,,,,,,,2056,,,,229,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Kaldero, big,  for community kitchen",,,,,pcs,,,,,,,,62,,,,2500,PHP,Lokal Industries,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Kawa, big, for community kitchen",,,,,pcs,,,,,,,,80,,,,1286,PHP,Emmaiah Mktg,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Laddle, aluminum, jumbo",,,,,pcs,,,,,,,,85,,,,45,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Laddle, aluminum, regular size",,,,,pcs,,,,,,,,2650,,,,19.68,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,Laddles and stirrer,,,,,pcs,,,,,,,,151,,,,0,PHP,UNICEF,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Laminated sacks, 8ftx100m",,,,,rolls,,,,,,,,900,,,,2658.88,PHP,Lokal Industries,,,,
