Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC C WAREHOUSE,,,Clothings,,"Clothing, used (box no. hc 2134)",,,,,kgs,,,,,,,,14,7/19/2012,,,50,PHP,Handang Tumulong Foundation Inc.,,,,
NROC C WAREHOUSE,,,Clothings,,"Clothing, used (box no. hc 2133)",,,,,kgs,,,,,,,,28,7/19/2012,,,50,PHP,Handang Tumulong Foundation Inc.,,,,
NROC C WAREHOUSE,,,Clothings,,"Clothing, used (box no. hc 2132)",,,,,kgs,,,,,,,,26,7/19/2012,,,50,PHP,Handang Tumulong Foundation Inc.,,,,
NROC C WAREHOUSE,,,Clothings,,"Clothing, used (box no. hc 2132)",,,,,kgs,,,,,,,,22,8/3/2012,,,50,PHP,Handang Tumulong Foundation Inc.,,,,
NROC C WAREHOUSE,,,Clothings,,"Clothing, used (box no. hc 2132)",,,,,kgs,,,,,,,,26,8/3/2012,,,50,PHP,Handang Tumulong Foundation Inc.,,,,
NROC C WAREHOUSE,,,Clothings,,"Clothing, used (box no. hc 2132)",,,,,kgs,,,,,,,,28,8/3/2012,,,50,PHP,Handang Tumulong Foundation Inc.,,,,
NROC C WAREHOUSE,,,Clothings,,"Clothing, used, assorted, blouse, t shirt, sweatshirt, children t shirt, etc.)",,,,,kgs,,,,,,,,1373,9/9/2011,,,50,PHP,"Sunlove, Singapore c/o BOC (2011-09-008)",,,,
NROC C WAREHOUSE,,,Clothings,,"Jacket, used (10kilos)",,,,,pcs,,,,,,,,13,7/19/2012,,,60,PHP,Handang Tumulong Foundation Inc.,,,,
NROC C WAREHOUSE,,,Clothings,,"Jacket for Female, large (color: pink + beige)",,,,,pcs,,,,,,,,2877,8/30/2012,,,60,PHP,Jordan Hashemite Charity Organization,,,,
NROC C WAREHOUSE,,,Clothings,,"Jacket for Female, 165-175cm (color: orange + light pink)",,,,,pcs,,,,,,,,1918,8/30/2012,,,60,PHP,Jordan Hashemite Charity Organization,,,,
